-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2022 
Location: Latitude  42.3547   Longitude -71.8908 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 205.35 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS                      MERRA-2 Surface Pressure (kPa) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
CLOUD_AMT               CERES SYN1deg Cloud Amount (%) 
TOA_SW_DWN              CERES SYN1deg Top-Of-Atmosphere Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SRF_ALB          CERES SYN1deg All Sky Surface Albedo (dimensionless) 
ALLSKY_SFC_SW_DNI       CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (MJ/m^2/day) 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_SW_DIFF      CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (MJ/m^2/day) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,1981,98.8,99.51,98.3,99.0,98.94,98.83,99.09,99.25,99.04,99.4,98.84,98.76,98.98
PS,1982,99.03,99.48,99.25,98.85,99.27,98.94,99.12,99.18,99.41,99.5,99.65,99.61,99.27
PS,1983,99.29,99.17,98.63,98.69,99.04,99.16,98.97,99.19,99.4,99.69,98.78,99.36,99.12
PS,1984,99.55,98.97,98.96,98.85,98.91,99.03,99.11,99.13,99.53,99.71,99.33,99.48,99.22
PS,1985,98.4,99.29,99.08,99.04,98.83,98.78,99.1,99.4,99.56,99.66,99.62,98.98,99.14
PS,1986,99.0,98.99,99.2,98.92,99.05,98.95,99.03,99.27,99.48,99.44,99.62,99.59,99.21
PS,1987,98.69,99.03,99.26,98.99,99.39,98.93,99.14,99.22,99.21,99.37,99.46,98.85,99.13
PS,1988,99.63,99.17,99.06,98.52,99.15,98.78,99.13,99.14,99.34,99.22,99.0,99.26,99.12
PS,1989,99.38,99.52,99.62,98.99,99.0,99.12,99.27,99.12,99.54,99.4,98.78,99.04,99.23
PS,1990,98.98,99.35,99.72,99.17,98.93,98.93,99.23,99.36,99.23,99.23,99.04,99.44,99.22
PS,1991,99.46,99.05,98.63,99.28,99.26,99.07,99.06,99.2,99.53,99.48,99.43,99.28,99.23
PS,1992,98.9,98.94,98.86,99.14,99.53,98.87,98.98,99.39,99.69,99.23,99.6,99.4,99.21
PS,1993,99.59,99.2,99.27,99.01,99.01,99.07,98.99,99.3,99.24,99.33,99.54,99.03,99.22
PS,1994,99.51,99.52,98.72,99.2,98.83,98.96,99.24,99.26,99.15,99.4,99.3,99.64,99.23
PS,1995,99.01,98.81,99.37,98.9,98.93,99.2,99.02,99.21,99.48,99.15,99.11,98.93,99.09
PS,1996,99.24,98.73,99.05,98.7,99.14,99.21,98.87,99.47,99.02,99.29,99.56,99.36,99.14
PS,1997,98.97,99.46,99.08,98.65,98.68,99.04,99.01,99.11,98.99,99.3,98.91,98.49,98.97
PS,1998,99.35,98.97,99.09,98.82,98.85,98.61,98.92,99.36,98.81,99.33,99.16,99.32,99.05
PS,1999,99.54,99.21,98.8,98.84,99.29,99.35,98.96,98.97,99.15,99.4,99.28,99.19,99.17
PS,2000,99.08,99.43,99.1,98.94,98.97,99.14,99.09,99.21,99.22,99.42,98.9,99.27,99.15
PS,2001,99.01,99.45,98.71,99.29,99.26,99.12,99.04,99.12,99.3,99.29,99.54,99.05,99.18
PS,2002,98.78,99.06,99.5,99.32,99.14,99.12,99.02,99.31,99.31,99.46,98.85,98.92,99.15
