-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2022 
Location: Latitude  40.242   Longitude -82.5915 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 289.86 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS                      MERRA-2 Surface Pressure (kPa) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
CLOUD_AMT               CERES SYN1deg Cloud Amount (%) 
TOA_SW_DWN              CERES SYN1deg Top-Of-Atmosphere Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SRF_ALB          CERES SYN1deg All Sky Surface Albedo (dimensionless) 
ALLSKY_SFC_SW_DNI       CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (MJ/m^2/day) 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_SW_DIFF      CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (MJ/m^2/day) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,1981,98.34,98.47,97.95,98.27,98.04,98.05,98.29,98.3,98.25,98.49,98.32,98.21,98.25
PS,1982,98.21,98.64,98.26,98.27,98.25,97.98,98.26,98.38,98.42,98.56,98.64,98.55,98.37
PS,1983,98.45,98.29,97.71,97.73,98.02,98.23,98.36,98.33,98.51,98.59,97.96,98.53,98.23
PS,1984,98.71,98.06,98.06,97.74,98.1,98.22,98.29,98.28,98.61,98.67,98.59,98.57,98.33
PS,1985,98.08,98.55,98.33,98.18,97.94,98.02,98.21,98.43,98.67,98.59,98.34,98.32,98.3
PS,1986,98.41,98.0,98.37,98.03,98.16,98.19,98.26,98.37,98.5,98.58,98.68,98.71,98.36
PS,1987,98.1,98.48,98.3,97.89,98.43,98.14,98.32,98.27,98.19,98.55,98.57,98.21,98.29
PS,1988,98.79,98.37,98.32,97.75,98.13,98.26,98.32,98.23,98.43,98.44,98.06,98.61,98.31
PS,1989,98.56,98.78,98.48,98.21,98.11,98.17,98.38,98.3,98.5,98.49,98.06,98.44,98.37
PS,1990,98.21,98.48,98.76,98.31,98.0,98.14,98.34,98.42,98.33,98.38,98.5,98.54,98.37
PS,1991,98.59,98.34,97.78,98.24,98.4,98.32,98.19,98.38,98.59,98.44,98.62,98.67,98.38
PS,1992,98.23,98.21,98.08,98.19,98.43,97.94,98.07,98.5,98.6,98.42,98.42,98.57,98.3
PS,1993,98.73,98.46,98.28,97.97,98.14,98.25,98.22,98.33,98.28,98.32,98.58,98.28,98.32
PS,1994,98.67,98.66,98.06,98.28,98.23,98.01,98.27,98.39,98.42,98.51,98.51,98.79,98.4
PS,1995,98.18,98.23,98.56,98.01,98.01,98.12,98.15,98.22,98.46,98.11,98.28,98.52,98.24
PS,1996,98.23,98.09,98.2,97.89,98.21,98.17,98.13,98.54,98.05,98.37,98.78,98.24,98.24
PS,1997,98.29,98.66,98.3,98.13,98.02,98.02,98.24,98.28,98.22,98.46,98.1,97.95,98.22
PS,1998,98.31,97.97,98.12,97.94,97.83,97.84,98.2,98.4,98.11,98.68,98.44,98.67,98.21
PS,1999,98.46,98.36,98.41,98.0,98.17,98.31,98.24,98.12,98.17,98.54,98.59,98.46,98.32
PS,2000,98.56,98.57,98.28,98.01,97.99,98.24,98.13,98.32,98.31,98.76,98.25,98.71,98.34
PS,2001,98.44,98.69,98.06,98.38,98.15,98.27,98.19,98.25,98.36,98.44,98.66,98.3,98.34
PS,2002,98.21,98.41,98.45,98.42,98.33,98.22,98.3,98.42,98.31,98.4,98.12,98.28,98.32
