-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2022 
Location: Latitude  34.9537   Longitude -92.4352 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 140.45 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS                      MERRA-2 Surface Pressure (kPa) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
CLOUD_AMT               CERES SYN1deg Cloud Amount (%) 
TOA_SW_DWN              CERES SYN1deg Top-Of-Atmosphere Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SRF_ALB          CERES SYN1deg All Sky Surface Albedo (dimensionless) 
ALLSKY_SFC_SW_DNI       CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (MJ/m^2/day) 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_SW_DIFF      CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (MJ/m^2/day) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,1981,100.55,100.42,99.95,100.11,99.65,99.77,99.92,99.88,100.06,100.23,100.18,100.27,100.08
PS,1982,100.26,100.57,100.01,100.0,99.8,99.7,99.91,99.98,100.07,100.24,100.33,100.23,100.09
PS,1983,100.36,99.95,99.46,99.46,99.68,99.75,100.1,100.03,100.13,100.23,99.79,100.6,99.96
PS,1984,100.77,99.96,99.87,99.42,99.94,99.87,99.94,99.93,100.2,100.1,100.36,100.35,100.06
PS,1985,100.52,100.59,100.07,99.97,99.64,99.8,99.89,99.93,100.13,100.09,100.07,100.6,100.11
PS,1986,100.61,99.89,100.2,99.91,99.78,99.83,99.96,100.01,100.07,100.25,100.35,100.58,100.12
PS,1987,100.19,100.06,99.9,99.88,99.9,99.88,99.95,99.86,99.91,100.44,100.32,100.17,100.04
PS,1988,100.76,100.48,100.15,99.69,99.83,99.93,99.97,99.81,99.91,100.37,99.86,100.64,100.12
PS,1989,100.52,100.85,100.12,100.0,99.89,99.8,99.99,99.92,100.06,100.25,100.08,100.56,100.17
PS,1990,100.23,100.3,100.36,100.1,99.73,99.88,100.0,100.01,100.01,100.2,100.33,100.42,100.13
PS,1991,100.53,100.38,99.6,99.74,99.87,99.88,99.94,100.02,100.28,100.06,100.47,100.62,100.11
PS,1992,100.37,100.08,99.99,99.96,100.08,99.46,99.86,100.13,100.1,100.12,100.1,100.42,100.06
PS,1993,100.61,100.36,100.13,99.69,99.74,99.81,99.82,99.94,100.03,100.14,100.45,100.26,100.08
PS,1994,100.6,100.43,100.03,99.96,99.97,99.69,99.91,100.04,100.05,99.99,100.22,100.52,100.12
PS,1995,100.12,100.37,100.22,99.68,99.61,99.78,99.78,99.7,100.04,99.94,100.31,100.42,99.99
PS,1996,100.13,100.2,100.16,99.82,99.77,99.83,99.86,100.08,99.73,100.07,100.44,100.16,100.02
PS,1997,100.41,100.46,100.14,99.88,99.92,99.6,99.93,100.0,99.91,100.13,100.08,99.99,100.03
PS,1998,100.05,99.62,99.91,99.7,99.54,99.58,99.82,99.99,99.71,100.34,100.22,100.59,99.92
PS,1999,100.15,100.19,100.19,99.7,99.78,99.87,100.02,99.8,99.91,100.29,100.51,100.37,100.06
PS,2000,100.53,100.44,100.03,99.93,99.69,100.01,99.85,99.94,99.89,100.5,100.18,100.8,100.15
PS,2001,100.56,100.51,100.06,100.11,99.85,99.91,99.86,99.95,100.01,100.29,100.35,100.25,100.14
PS,2002,100.26,100.6,100.22,100.09,99.98,99.9,100.01,99.98,99.83,100.07,100.28,100.19,100.11
PS,2003,100.68,100.1,99.74,99.77,99.64,99.68,99.92,99.92,100.03,99.97,100.23,100.34,100.0
PS,2004,100.39,100.47,100.42,99.98,99.88,99.93,99.81,99.97,100.05,99.8,100.24,100.48,100.12
PS,2005,100.6,100.35,99.72,99.75,99.89,99.69,99.88,99.79,100.01,100.16,100.12,100.25,100.02
PS,2006,100.04,100.36,100.13,99.7,99.68,99.94,99.96,99.82,99.86,99.93,100.19,100.57,100.01
PS,2007,100.62,100.21,100.25,99.98,100.09,99.82,99.9,99.84,100.1,99.99,100.43,100.22,100.12
PS,2008,100.57,100.02,100.01,99.89,99.52,99.81,99.86,99.71,99.99,100.42,100.31,100.37,100.04
PS,2009,100.34,100.4,100.16,99.8,99.83,99.57,99.8,99.99,99.92,99.88,100.25,100.18,100.01
PS,2010,100.43,100.2,99.75,99.75,99.71,99.75,99.87,99.67,99.87,100.08,100.15,100.31,99.96
PS,2011,100.28,100.19,100.11,99.43,99.64,99.64,99.69,99.59,99.88,100.11,100.15,100.59,99.94
PS,2012,100.26,100.34,100.01,99.87,99.75,99.7,99.81,99.71,99.96,99.98,100.57,100.03,100.0
