-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2022 
Location: Latitude  36.5231   Longitude -119.4177 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 249.47 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS                      MERRA-2 Surface Pressure (kPa) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
CLOUD_AMT               CERES SYN1deg Cloud Amount (%) 
TOA_SW_DWN              CERES SYN1deg Top-Of-Atmosphere Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SRF_ALB          CERES SYN1deg All Sky Surface Albedo (dimensionless) 
ALLSKY_SFC_SW_DNI       CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (MJ/m^2/day) 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_SW_DIFF      CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (MJ/m^2/day) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,1981,98.84,98.89,98.64,98.58,98.28,98.16,98.17,98.1,98.31,98.55,98.75,98.98,98.52
PS,1982,98.92,98.91,98.54,98.69,98.22,98.2,98.25,98.32,98.18,98.67,98.57,98.83,98.52
PS,1983,98.76,98.57,98.36,98.42,98.47,98.17,98.26,98.35,98.16,98.58,98.68,98.87,98.47
PS,1984,99.13,98.98,98.74,98.53,98.4,98.17,98.09,98.2,98.06,98.59,98.8,98.63,98.53
PS,1985,99.06,98.87,98.75,98.5,98.34,98.19,98.23,98.3,98.35,98.47,98.61,99.13,98.57
PS,1986,99.0,98.71,98.67,98.58,98.29,98.22,98.34,98.19,98.31,98.56,98.87,98.92,98.55
PS,1987,98.93,98.69,98.64,98.52,98.29,98.26,98.08,98.23,98.39,98.53,98.86,98.86,98.52
PS,1988,99.06,98.93,98.9,98.45,98.49,98.22,98.22,98.06,98.22,98.52,98.88,99.07,98.58
PS,1989,99.19,99.01,98.77,98.54,98.45,98.22,98.3,98.17,98.21,98.66,98.81,99.06,98.61
PS,1990,98.96,98.99,98.72,98.48,98.34,98.27,98.19,98.34,98.34,98.54,98.87,98.96,98.58
PS,1991,99.05,98.81,98.44,98.7,98.42,98.21,98.25,98.42,98.27,98.42,98.87,98.79,98.55
PS,1992,98.86,98.65,98.43,98.55,98.23,98.09,98.28,98.32,98.24,98.45,98.93,98.78,98.48
PS,1993,98.55,98.55,98.85,98.66,98.33,98.15,98.14,98.21,98.31,98.57,98.81,99.03,98.51
PS,1994,99.09,98.76,98.72,98.57,98.35,98.27,98.22,98.24,98.36,98.37,98.84,98.86,98.55
PS,1995,98.66,98.8,98.61,98.58,98.34,98.27,98.25,97.98,98.25,98.4,98.82,98.93,98.49
PS,1996,98.9,98.67,98.7,98.7,98.37,98.19,98.16,98.17,98.16,98.46,98.8,98.86,98.51
PS,1997,98.89,98.91,98.8,98.53,98.34,98.01,98.21,98.31,98.12,98.52,98.54,98.91,98.51
PS,1998,98.72,98.38,98.48,98.61,98.5,98.37,98.26,98.28,98.01,98.49,98.79,99.23,98.51
PS,1999,98.99,99.12,98.57,98.54,98.41,98.22,98.3,98.28,98.11,98.61,98.9,99.29,98.61
PS,2000,99.1,98.79,98.69,98.64,98.37,98.17,98.32,98.26,98.2,98.42,98.89,99.04,98.57
PS,2001,98.98,98.68,98.58,98.57,98.28,98.25,98.23,98.28,98.18,98.52,98.77,98.98,98.52
PS,2002,99.08,99.14,98.82,98.53,98.38,98.12,98.23,98.25,98.12,98.39,98.89,98.94,98.57
