-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2022 
Location: Latitude  32.9858   Longitude -86.3708 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 198.32 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS                      MERRA-2 Surface Pressure (kPa) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
CLOUD_AMT               CERES SYN1deg Cloud Amount (%) 
TOA_SW_DWN              CERES SYN1deg Top-Of-Atmosphere Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SRF_ALB          CERES SYN1deg All Sky Surface Albedo (dimensionless) 
ALLSKY_SFC_SW_DNI       CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (MJ/m^2/day) 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_SW_DIFF      CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (MJ/m^2/day) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,1981,99.74,99.81,99.27,99.71,99.1,99.29,99.36,99.31,99.41,99.61,99.56,99.59,99.48
PS,1982,99.66,99.71,99.51,99.41,99.38,99.12,99.41,99.45,99.41,99.61,99.81,99.77,99.52
PS,1983,99.6,99.24,98.82,98.99,99.23,99.24,99.5,99.42,99.57,99.64,99.35,99.76,99.37
PS,1984,99.91,99.38,99.25,98.95,99.42,99.38,99.36,99.38,99.51,99.67,99.77,99.91,99.49
PS,1985,99.61,99.81,99.58,99.5,99.09,99.22,99.36,99.4,99.61,99.45,99.49,99.86,99.5
PS,1986,99.83,99.26,99.64,99.33,99.27,99.28,99.43,99.34,99.61,99.65,99.62,99.78,99.51
PS,1987,99.42,99.4,99.25,99.14,99.46,99.34,99.46,99.32,99.26,99.74,99.73,99.61,99.43
PS,1988,100.09,99.79,99.59,98.99,99.24,99.26,99.49,99.26,99.4,99.65,99.43,100.01,99.52
PS,1989,99.91,99.96,99.47,99.41,99.36,99.3,99.42,99.34,99.3,99.64,99.54,99.69,99.53
PS,1990,99.74,99.8,99.83,99.54,99.27,99.38,99.43,99.31,99.39,99.46,99.76,99.85,99.56
PS,1991,99.77,99.7,99.07,99.38,99.43,99.34,99.32,99.43,99.58,99.55,99.86,99.98,99.53
PS,1992,99.6,99.36,99.4,99.4,99.39,98.91,99.45,99.46,99.5,99.5,99.59,99.82,99.45
PS,1993,99.8,99.61,99.44,99.23,99.24,99.36,99.35,99.38,99.4,99.42,99.83,99.64,99.47
PS,1994,99.9,99.81,99.31,99.56,99.28,99.22,99.4,99.46,99.38,99.34,99.67,99.76,99.51
PS,1995,99.51,99.61,99.55,99.23,99.16,99.18,99.24,99.05,99.31,99.29,99.69,99.73,99.38
PS,1996,99.53,99.52,99.45,99.35,99.44,99.29,99.33,99.42,99.1,99.5,99.85,99.69,99.46
PS,1997,99.72,99.84,99.53,99.22,99.36,99.07,99.28,99.41,99.18,99.5,99.39,99.24,99.39
PS,1998,99.46,98.92,99.43,99.18,99.04,99.22,99.3,99.35,99.09,99.7,99.62,99.84,99.35
PS,1999,99.75,99.62,99.47,99.28,99.29,99.37,99.49,99.06,99.15,99.6,99.82,99.78,99.47
PS,2000,99.86,99.94,99.4,99.33,99.31,99.49,99.18,99.37,99.23,99.84,99.52,99.95,99.53
PS,2001,99.8,99.9,99.2,99.73,99.39,99.39,99.32,99.41,99.33,99.76,99.76,99.62,99.55
PS,2002,99.66,99.83,99.67,99.61,99.47,99.33,99.43,99.39,99.14,99.35,99.59,99.62,99.51
PS,2003,99.84,99.41,99.1,99.27,99.16,99.12,99.41,99.35,99.35,99.34,99.68,99.75,99.4
PS,2004,99.73,99.71,99.86,99.4,99.53,99.41,99.22,99.29,99.19,99.34,99.69,99.83,99.52
