-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2022 
Location: Latitude  44.0207   Longitude -120.4723 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1310.04 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS                      MERRA-2 Surface Pressure (kPa) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
CLOUD_AMT               CERES SYN1deg Cloud Amount (%) 
TOA_SW_DWN              CERES SYN1deg Top-Of-Atmosphere Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SRF_ALB          CERES SYN1deg All Sky Surface Albedo (dimensionless) 
ALLSKY_SFC_SW_DNI       CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (MJ/m^2/day) 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_SW_DIFF      CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (MJ/m^2/day) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,1981,86.87,86.89,86.68,86.91,86.79,87.01,87.09,86.96,87.06,86.84,86.72,86.63,86.87
PS,1982,86.63,86.8,86.29,86.66,86.93,86.77,87.05,87.1,86.99,87.03,86.56,86.71,86.8
PS,1983,86.61,86.19,86.02,86.55,86.94,86.83,86.96,87.08,87.06,87.05,86.38,86.55,86.69
PS,1984,87.48,86.89,86.85,86.7,86.94,86.93,87.11,87.01,86.99,86.83,86.46,86.64,86.91
PS,1985,87.34,87.0,86.69,86.94,86.77,87.11,87.15,87.09,86.93,86.95,86.55,87.35,86.99
PS,1986,86.89,86.35,86.76,86.81,86.76,86.96,87.14,87.07,86.75,87.19,87.15,87.07,86.91
PS,1987,86.92,86.78,86.64,86.94,86.86,87.06,86.83,87.17,87.24,87.28,87.04,86.69,86.95
PS,1988,86.94,87.36,87.21,86.64,86.83,86.91,87.22,87.01,87.15,87.19,86.57,87.11,87.01
PS,1989,87.12,87.02,86.49,86.89,86.93,86.97,87.12,86.94,86.97,87.07,87.15,87.42,87.01
PS,1990,86.74,86.85,86.92,86.85,86.71,86.92,87.06,87.09,87.16,87.08,87.1,86.93,86.95
PS,1991,87.16,87.05,86.15,86.88,86.78,86.88,87.18,87.1,87.22,87.09,87.17,86.95,86.97
PS,1992,86.93,86.65,86.65,86.85,87.02,86.76,87.05,87.2,87.03,86.95,87.19,86.5,86.9
PS,1993,86.47,86.5,86.94,86.76,86.63,86.88,87.06,87.09,87.19,87.2,87.18,86.99,86.91
PS,1994,87.21,86.51,86.98,86.82,86.79,87.0,87.16,87.09,87.13,86.87,86.6,86.72,86.91
PS,1995,86.29,86.97,86.4,86.66,86.7,86.9,87.08,86.89,87.05,87.12,87.03,86.74,86.82
PS,1996,86.57,86.52,86.81,86.86,86.79,87.03,87.14,87.12,86.92,86.95,86.86,86.34,86.83
PS,1997,86.76,87.16,86.93,86.9,86.98,86.8,87.12,87.06,86.9,86.91,86.66,87.13,86.94
PS,1998,86.2,85.96,86.58,86.72,86.58,86.92,87.14,87.28,86.86,87.07,86.56,87.17,86.76
PS,1999,86.88,86.58,86.45,86.92,86.92,86.9,87.07,87.03,87.14,87.27,86.9,87.45,86.96
PS,2000,86.82,86.52,86.93,86.94,86.82,87.07,87.11,87.11,87.04,86.88,87.04,87.16,86.95
PS,2001,87.04,86.69,86.9,86.69,87.14,87.0,87.06,87.1,87.0,87.1,86.73,86.62,86.92
PS,2002,86.95,87.23,86.83,86.84,86.87,86.98,87.16,87.19,86.96,87.14,87.16,86.43,86.98
PS,2003,87.25,86.83,86.66,86.37,86.87,86.92,87.18,87.12,87.13,87.14,86.8,86.6,86.91
PS,2004,86.83,86.7,87.1,86.94,86.83,87.01,87.05,87.06,87.0,86.71,87.33,86.91,86.96
PS,2005,86.79,86.91,86.76,86.75,86.72,86.71,87.09,87.1,87.08,86.96,87.08,86.8,86.9
PS,2006,86.72,87.04,86.2,86.6,86.93,87.13,87.13,87.08,87.1,87.09,86.67,87.09,86.9
PS,2007,87.34,86.66,87.09,86.84,86.96,86.93,87.03,86.93,86.99,86.98,87.16,86.85,86.98
PS,2008,86.5,86.85,87.06,86.88,86.91,87.08,87.05,86.92,87.11,87.28,87.15,86.59,86.95
PS,2009,87.43,86.63,86.72,86.88,86.91,86.78,87.12,87.1,87.1,86.88,86.92,86.75,86.94
PS,2010,86.4,86.57,86.73,86.47,86.79,86.98,87.04,86.89,86.93,87.02,86.87,86.37,86.75
PS,2011,87.18,86.75,86.38,86.71,86.68,86.8,86.91,86.99,87.16,87.04,86.75,87.45,86.9
PS,2012,87.05,86.91,86.3,86.69,86.96,86.83,87.02,87.04,87.24,86.96,86.81,86.41,86.85
PS,2013,87.26,87.13,87.0,87.05,86.98,86.95,87.05,87.02,86.74,87.15,87.1,87.27,87.06
PS,2014,87.35,86.52,86.78,86.84,86.99,86.9,87.16,87.06,86.92,86.91,86.99,86.78,86.94
PS,2015,87.4,87.02,87.15,86.9,86.73,87.0,87.04,87.01,86.92,87.04,86.93,86.47,86.97
PS,2016,86.66,87.21,86.56,86.95,86.86,87.1,87.12,87.08,87.15,86.63,86.82,86.88,86.92
PS,2017,86.49,86.24,86.81,86.71,86.87,86.94,87.2,87.11,87.0,87.21,86.66,87.43,86.9
PS,2018,86.98,87.01,86.6,86.82,86.91,86.96,87.3,87.11,86.99,87.11,87.12,86.97,86.99
PS,2019,86.87,85.98,86.86,86.84,86.58,87.09,87.11,87.08,86.94,87.19,86.97,86.74,86.86
PS,2020,86.8,87.29,86.68,86.95,86.84,86.96,87.06,87.09,87.24,87.3,86.94,87.19,87.03
PS,2021,86.85,86.9,86.89,86.94,87.06,86.93,87.13,87.05,87.09,86.78,87.22,86.26,86.92
PS,2022,87.26,87.42,87.01,86.7,86.83,86.92,87.06,87.09,87.0,87.19,86.97,86.57,87.0
TS,1981,-0.01,0.33,3.13,7.12,10.83,14.87,19.35,22.04,15.35,6.3,2.0,-1.64,8.35
TS,1982,-6.15,-2.93,1.46,4.38,10.23,16.1,18.8,19.15,11.97,6.48,-1.21,-3.31,6.3
TS,1983,-0.95,0.25,2.42,4.55,11.48,13.96,17.26,19.06,12.28,7.9,0.64,-6.35,6.92
TS,1984,-2.92,-0.17,3.22,3.98,9.61,13.42,20.24,19.15,12.16,4.48,-0.23,-5.58,6.48
TS,1985,-3.77,-2.58,0.46,7.8,11.28,16.65,21.52,17.19,10.2,6.15,-4.85,-4.85,6.33
TS,1986,0.22,0.69,4.94,6.08,11.9,18.93,17.17,21.33,10.76,8.15,1.39,-1.38,8.4
TS,1987,-3.64,0.18,2.71,9.96,13.44,18.34,17.79,18.37,15.9,10.34,2.3,-2.78,8.61
TS,1988,-3.56,1.02,2.86,7.9,11.18,16.4,21.26,19.47,14.81,12.19,0.69,-3.02,8.46
TS,1989,-3.57,-4.22,2.22,8.51,10.87,16.83,20.18,17.98,14.03,7.02,1.79,-0.69,7.65
TS,1990,-0.76,-2.7,3.62,10.22,10.24,16.42,21.79,19.9,17.19,6.85,1.44,-6.35,8.21
TS,1991,-2.38,2.65,1.37,4.76,8.8,13.6,21.23,20.41,16.66,8.62,2.24,-1.51,8.07
TS,1992,-1.21,2.44,6.02,8.77,16.06,18.7,19.5,21.08,14.44,8.99,1.0,-4.4,9.3
TS,1993,-7.19,-3.55,3.93,5.56,13.5,14.51,15.52,17.3,14.52,8.82,-1.09,-1.94,6.73
TS,1994,-0.54,-1.56,3.98,8.25,13.19,16.26,22.28,20.59,16.38,6.89,-2.52,-3.56,8.37
TS,1995,-1.42,2.15,2.55,5.59,11.72,14.68,19.81,17.71,15.85,7.19,4.06,-0.85,8.28
TS,1996,-2.11,-0.79,2.81,6.98,9.47,15.74,21.47,19.44,12.82,7.24,2.07,-1.52,7.83
TS,1997,-2.37,-0.58,3.31,5.61,13.89,15.09,19.06,19.62,14.68,6.59,2.57,-2.71,7.95
TS,1998,-1.26,-0.42,2.33,6.0,9.19,14.79,22.04,20.02,16.09,6.34,0.88,-3.31,7.77
TS,1999,-2.41,-2.61,1.3,4.45,9.46,14.73,19.13,19.52,14.15,8.56,3.89,-1.41,7.46
TS,2000,-2.49,0.75,2.11,8.84,11.37,17.23,20.25,19.67,13.58,7.07,-0.61,-1.21,8.07
TS,2001,-1.92,-1.08,4.01,5.55,15.08,16.33,20.94,22.26,16.5,8.67,2.4,-2.49,8.92
TS,2002,-2.35,0.37,1.76,7.98,11.8,18.55,23.92,19.07,15.67,7.05,2.69,-0.02,8.92
TS,2003,1.42,0.09,4.26,5.0,11.82,19.12,24.85,21.91,16.87,10.34,-0.26,-1.3,9.58
TS,2004,-1.9,0.16,6.24,9.27,12.01,17.6,22.74,21.01,13.98,8.31,1.79,-0.49,9.26
TS,2005,-1.85,0.46,4.61,6.68,12.31,15.12,22.2,21.62,13.79,8.8,0.94,-3.02,8.53
TS,2006,-1.75,-0.77,0.89,6.55,13.23,17.68,23.51,19.37,15.3,7.54,1.53,-1.67,8.51
TS,2007,-3.41,0.18,4.84,7.21,13.8,17.56,23.94,20.44,13.99,6.51,1.84,-2.99,8.71
TS,2008,-4.66,-0.95,1.09,4.43,11.92,16.24,22.23,20.82,15.73,8.35,4.11,-3.33,8.02
TS,2009,-1.47,-0.2,1.06,6.38,13.88,16.65,23.31,20.62,17.08,6.08,0.88,-3.8,8.42
TS,2010,-0.28,0.58,3.04,5.06,8.89,15.15,21.65,19.9,15.05,9.07,1.01,-2.53,8.1
TS,2011,-2.2,-2.31,1.26,3.51,8.65,14.57,20.0,21.19,17.86,8.3,0.42,-1.71,7.52
TS,2012,-1.41,-0.07,2.03,7.5,11.73,14.9,22.04,21.84,17.14,8.05,2.97,-3.24,8.65
TS,2013,-5.58,-0.66,3.58,7.11,12.96,17.55,23.69,21.01,15.38,6.11,1.67,-3.05,8.37
TS,2014,-0.36,-0.09,3.85,7.19,13.15,16.31,23.68,20.7,16.37,10.26,1.34,-0.15,9.42
TS,2015,0.44,3.04,6.35,7.1,12.99,20.87,22.05,21.15,14.76,11.39,-0.0,-3.27,9.79
TS,2016,-3.27,2.38,4.07,10.8,12.94,18.02,20.41,20.93,14.27,7.57,4.17,-6.26,8.84
TS,2017,-7.14,-1.02,3.92,5.76,13.34,17.57,23.49,22.08,15.76,6.9,1.86,-1.7,8.46
TS,2018,0.57,-0.97,1.73,7.01,14.73,16.65,23.2,20.97,14.62,8.51,2.23,-2.31,8.98
TS,2019,-0.89,-3.89,1.73,7.85,12.58,17.62,20.9,21.99,14.53,5.33,2.73,-1.12,8.35
TS,2020,-0.75,0.2,2.97,8.31,13.26,16.56,22.3,21.82,17.37,9.96,0.77,-1.23,9.33
TS,2021,-0.43,-0.66,2.71,8.78,13.18,21.59,25.53,21.87,15.93,8.29,3.65,-0.86,10.02
TS,2022,-0.87,0.37,5.07,5.3,10.62,17.12,25.04,24.77,18.42,12.0,-0.63,-2.45,9.63
QV2M,1981,3.54,3.54,3.54,4.46,5.0,5.8,6.29,6.41,5.37,4.33,4.09,3.72,4.7
QV2M,1982,2.87,3.3,3.42,3.48,4.82,7.2,7.63,7.63,5.98,4.7,3.36,3.3,4.82
QV2M,1983,3.72,3.91,4.09,3.85,5.55,6.23,7.45,8.48,5.68,5.25,4.15,2.99,5.13
