-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2022 
Location: Latitude  41.669   Longitude -71.4953 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 16.57 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS                      MERRA-2 Surface Pressure (kPa) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
CLOUD_AMT               CERES SYN1deg Cloud Amount (%) 
TOA_SW_DWN              CERES SYN1deg Top-Of-Atmosphere Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SRF_ALB          CERES SYN1deg All Sky Surface Albedo (dimensionless) 
ALLSKY_SFC_SW_DNI       CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (MJ/m^2/day) 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_SW_DIFF      CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (MJ/m^2/day) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,1981,101.22,101.89,100.65,101.38,101.2,101.1,101.3,101.48,101.27,101.69,101.12,101.09,101.28
PS,1982,101.47,101.84,101.64,101.23,101.52,101.16,101.35,101.44,101.65,101.76,102.01,101.98,101.59
PS,1983,101.65,101.46,100.87,100.98,101.38,101.39,101.19,101.41,101.64,101.97,101.1,101.77,101.4
PS,1984,101.93,101.31,101.26,101.14,101.23,101.27,101.37,101.33,101.79,101.96,101.69,101.87,101.51
PS,1985,100.82,101.7,101.46,101.39,101.14,101.05,101.38,101.63,101.79,101.96,101.91,101.39,101.47
PS,1986,101.42,101.34,101.6,101.18,101.33,101.23,101.27,101.52,101.78,101.72,101.97,101.94,101.53
PS,1987,101.03,101.38,101.55,101.21,101.69,101.19,101.36,101.46,101.45,101.67,101.79,101.19,101.42
PS,1988,102.08,101.58,101.45,100.82,101.43,101.04,101.38,101.4,101.61,101.55,101.36,101.67,101.45
PS,1989,101.79,101.92,101.97,101.32,101.31,101.36,101.51,101.35,101.78,101.69,101.18,101.47,101.55
PS,1990,101.4,101.76,102.13,101.54,101.22,101.23,101.46,101.55,101.49,101.53,101.36,101.84,101.54
PS,1991,101.86,101.45,100.94,101.62,101.56,101.31,101.27,101.43,101.8,101.75,101.73,101.67,101.53
PS,1992,101.3,101.3,101.25,101.47,101.79,101.13,101.23,101.64,101.96,101.53,101.94,101.74,101.52
PS,1993,102.0,101.55,101.58,101.29,101.29,101.34,101.21,101.54,101.51,101.62,101.9,101.34,101.51
PS,1994,101.93,101.92,101.05,101.58,101.14,101.27,101.48,101.52,101.39,101.68,101.65,101.94,101.54
PS,1995,101.39,101.23,101.71,101.25,101.21,101.44,101.28,101.41,101.72,101.46,101.45,101.29,101.4
PS,1996,101.61,101.12,101.42,101.03,101.46,101.48,101.15,101.71,101.21,101.56,101.93,101.71,101.45
PS,1997,101.42,101.87,101.47,100.93,101.03,101.27,101.22,101.34,101.25,101.57,101.2,100.84,101.28
PS,1998,101.66,101.22,101.46,101.11,101.09,100.9,101.17,101.6,101.07,101.61,101.51,101.71,101.34
PS,1999,101.96,101.53,101.13,101.14,101.55,101.63,101.19,101.18,101.4,101.71,101.65,101.55,101.47
PS,2000,101.46,101.83,101.43,101.25,101.27,101.41,101.31,101.42,101.47,101.68,101.18,101.68,101.45
PS,2001,101.39,101.87,100.99,101.6,101.51,101.38,101.29,101.37,101.54,101.61,101.89,101.39,101.48
PS,2002,101.18,101.45,101.9,101.67,101.47,101.39,101.25,101.53,101.55,101.72,101.17,101.27,101.46
