-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2022 
Location: Latitude  41.6362   Longitude -72.6818 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 87.69 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS                      MERRA-2 Surface Pressure (kPa) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
CLOUD_AMT               CERES SYN1deg Cloud Amount (%) 
TOA_SW_DWN              CERES SYN1deg Top-Of-Atmosphere Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SRF_ALB          CERES SYN1deg All Sky Surface Albedo (dimensionless) 
ALLSKY_SFC_SW_DNI       CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (MJ/m^2/day) 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_SW_DIFF      CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (MJ/m^2/day) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,1981,100.42,101.02,99.87,100.56,100.36,100.29,100.5,100.65,100.47,100.87,100.34,100.32,100.47
PS,1982,100.64,101.02,100.79,100.43,100.68,100.33,100.56,100.62,100.8,100.94,101.17,101.14,100.76
PS,1983,100.81,100.65,100.06,100.1,100.51,100.58,100.41,100.59,100.82,101.14,100.28,100.91,100.57
PS,1984,101.09,100.48,100.44,100.27,100.39,100.47,100.55,100.52,100.98,101.13,100.87,101.03,100.69
PS,1985,100.03,100.86,100.64,100.55,100.29,100.22,100.54,100.79,100.97,101.14,101.07,100.56,100.64
PS,1986,100.58,100.52,100.75,100.34,100.48,100.4,100.44,100.7,100.93,100.9,101.13,101.1,100.69
PS,1987,100.23,100.61,100.71,100.36,100.85,100.36,100.53,100.63,100.62,100.84,100.97,100.4,100.59
PS,1988,101.24,100.72,100.62,99.99,100.57,100.23,100.53,100.56,100.79,100.71,100.53,100.85,100.61
PS,1989,100.96,101.07,101.11,100.48,100.44,100.53,100.69,100.53,100.95,100.86,100.35,100.65,100.72
PS,1990,100.56,100.91,101.26,100.67,100.38,100.38,100.64,100.72,100.65,100.7,100.58,101.0,100.7
PS,1991,101.01,100.61,100.11,100.76,100.73,100.5,100.45,100.61,100.96,100.91,100.92,100.85,100.7
PS,1992,100.47,100.49,100.39,100.61,100.92,100.3,100.4,100.81,101.12,100.71,101.09,100.91,100.69
PS,1993,101.16,100.72,100.74,100.43,100.46,100.52,100.4,100.69,100.67,100.79,101.05,100.52,100.68
PS,1994,101.09,101.1,100.24,100.72,100.31,100.41,100.64,100.69,100.59,100.87,100.84,101.13,100.72
PS,1995,100.55,100.39,100.86,100.41,100.38,100.6,100.44,100.59,100.88,100.62,100.61,100.52,100.57
PS,1996,100.76,100.3,100.58,100.19,100.63,100.63,100.32,100.87,100.4,100.73,101.09,100.85,100.61
PS,1997,100.59,101.03,100.63,100.13,100.2,100.45,100.41,100.51,100.42,100.75,100.38,100.04,100.46
PS,1998,100.82,100.39,100.6,100.27,100.24,100.05,100.35,100.75,100.25,100.81,100.69,100.89,100.51
PS,1999,101.09,100.71,100.32,100.32,100.68,100.78,100.37,100.35,100.55,100.88,100.82,100.73,100.63
PS,2000,100.66,100.99,100.58,100.4,100.42,100.57,100.47,100.6,100.64,100.88,100.38,100.86,100.62
PS,2001,100.57,101.04,100.18,100.75,100.66,100.55,100.46,100.52,100.69,100.78,101.05,100.58,100.65
PS,2002,100.37,100.61,101.02,100.81,100.63,100.54,100.44,100.69,100.72,100.88,100.35,100.47,100.63
