-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2022 
Location: Latitude  43.2574   Longitude -107.4645 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1815.11 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS                      MERRA-2 Surface Pressure (kPa) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
CLOUD_AMT               CERES SYN1deg Cloud Amount (%) 
TOA_SW_DWN              CERES SYN1deg Top-Of-Atmosphere Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SRF_ALB          CERES SYN1deg All Sky Surface Albedo (dimensionless) 
ALLSKY_SFC_SW_DNI       CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (MJ/m^2/day) 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_SW_DIFF      CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (MJ/m^2/day) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,1981,81.83,81.54,81.36,81.55,81.36,81.63,81.94,82.05,81.95,81.61,81.72,81.33,81.66
PS,1982,81.07,81.55,81.04,81.42,81.46,81.69,81.94,82.08,81.86,81.79,81.45,81.39,81.56
PS,1983,81.46,81.26,81.0,81.25,81.57,81.6,81.95,82.2,81.85,81.9,81.28,81.32,81.56
PS,1984,81.89,81.51,81.41,81.27,81.63,81.65,82.04,82.05,81.87,81.48,81.41,81.27,81.62
PS,1985,81.8,81.47,81.32,81.54,81.57,81.86,82.12,81.93,81.73,81.69,81.13,81.86,81.67
PS,1986,81.84,81.21,81.52,81.38,81.53,81.82,81.93,82.07,81.59,82.01,81.68,81.83,81.7
PS,1987,81.52,81.55,81.41,81.75,81.64,81.98,81.77,82.01,82.08,82.12,81.77,81.42,81.75
PS,1988,81.54,81.77,81.54,81.47,81.53,81.88,82.01,81.88,81.9,82.07,81.27,81.69,81.71
PS,1989,81.51,81.74,81.35,81.63,81.55,81.84,82.15,81.84,82.01,81.88,81.6,81.79,81.74
PS,1990,81.29,81.44,81.55,81.53,81.42,81.73,82.05,82.08,82.16,81.76,81.63,81.38,81.67
PS,1991,81.59,81.79,80.92,81.27,81.42,81.61,82.09,82.16,82.09,81.78,81.71,81.68,81.68
PS,1992,81.68,81.64,81.49,81.58,81.78,81.62,81.9,82.14,81.84,81.84,81.65,81.3,81.71
PS,1993,81.4,81.41,81.69,81.38,81.65,81.59,81.7,82.04,81.99,81.95,81.64,81.6,81.67
PS,1994,81.68,81.24,81.68,81.51,81.63,81.78,82.03,82.11,82.06,81.58,81.29,81.59,81.68
PS,1995,81.42,81.75,81.4,81.27,81.43,81.76,81.96,81.81,82.02,81.72,81.66,81.56,81.65
PS,1996,81.23,81.45,81.47,81.51,81.49,81.89,82.08,82.07,81.67,81.64,81.58,81.17,81.6
PS,1997,81.42,81.64,81.61,81.48,81.81,81.54,82.01,82.12,82.0,81.61,81.63,81.62,81.71
PS,1998,81.14,80.97,81.3,81.43,81.43,81.59,82.1,82.23,81.85,81.8,81.47,81.7,81.59
PS,1999,81.43,81.4,81.35,81.41,81.47,81.65,81.93,82.07,81.97,82.06,81.94,81.81,81.71
PS,2000,81.5,81.5,81.48,81.65,81.46,81.81,81.96,81.98,81.86,81.78,81.59,81.75,81.7
PS,2001,81.71,81.43,81.5,81.35,81.78,81.71,81.88,82.09,81.95,81.73,81.71,81.38,81.69
PS,2002,81.48,81.84,81.4,81.43,81.57,81.72,82.06,81.97,81.81,81.78,81.87,81.43,81.7
