-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2022 
Location: Latitude  38.75   Longitude -92.5231 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 224.74 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS                      MERRA-2 Surface Pressure (kPa) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
CLOUD_AMT               CERES SYN1deg Cloud Amount (%) 
TOA_SW_DWN              CERES SYN1deg Top-Of-Atmosphere Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SRF_ALB          CERES SYN1deg All Sky Surface Albedo (dimensionless) 
ALLSKY_SFC_SW_DNI       CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (MJ/m^2/day) 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_SW_DIFF      CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (MJ/m^2/day) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,1981,99.47,99.2,98.91,98.87,98.7,98.63,98.88,98.93,99.05,99.19,99.1,99.15,99.01
PS,1982,99.2,99.57,98.95,98.97,98.69,98.74,98.88,99.03,99.1,99.14,99.2,99.1,99.04
PS,1983,99.3,98.99,98.43,98.4,98.6,98.73,99.01,99.0,99.08,99.2,98.57,99.56,98.91
PS,1984,99.64,98.81,98.91,98.35,98.92,98.78,98.98,98.9,99.2,99.08,99.19,99.23,99.0
PS,1985,99.46,99.52,98.99,98.8,98.59,98.77,98.9,99.01,99.09,99.11,99.08,99.48,99.06
PS,1986,99.42,98.89,99.03,98.77,98.76,98.79,98.87,99.11,98.99,99.24,99.44,99.54,99.07
PS,1987,99.13,99.22,98.85,98.85,98.93,98.86,98.9,98.92,98.96,99.4,99.25,99.05,99.03
PS,1988,99.54,99.47,99.03,98.72,98.78,98.98,98.99,98.85,98.94,99.36,98.63,99.48,99.06
PS,1989,99.31,99.93,99.17,98.89,98.85,98.84,99.01,98.93,99.23,99.21,98.9,99.56,99.15
PS,1990,98.94,99.26,99.33,99.06,98.68,98.75,99.01,99.08,99.04,99.1,99.13,99.35,99.06
PS,1991,99.55,99.27,98.4,98.7,98.85,98.91,98.9,99.06,99.28,98.99,99.26,99.54,99.06
PS,1992,99.18,99.07,98.87,98.88,99.18,98.57,98.74,99.22,99.12,99.08,98.99,99.33,99.02
PS,1993,99.65,99.45,99.16,98.6,98.71,98.75,98.76,98.98,99.05,99.15,99.27,99.14,99.05
PS,1994,99.55,99.42,99.04,98.87,99.03,98.71,98.88,99.03,99.07,99.04,99.09,99.53,99.1
PS,1995,99.13,99.29,99.24,98.59,98.61,98.8,98.77,98.83,99.12,98.76,99.14,99.44,98.98
PS,1996,99.05,99.08,99.16,98.67,98.69,98.8,98.88,99.15,98.82,98.98,99.49,98.97,98.98
PS,1997,99.28,99.46,99.14,98.9,98.86,98.6,98.98,98.99,98.96,99.05,98.98,98.93,99.01
PS,1998,99.04,98.64,98.88,98.6,98.47,98.47,98.94,99.03,98.78,99.32,99.11,99.56,98.91
PS,1999,99.13,99.04,99.31,98.58,98.71,98.9,98.96,98.91,98.98,99.28,99.36,99.22,99.03
PS,2000,99.43,99.26,99.06,98.87,98.52,98.93,98.85,98.89,98.94,99.47,99.12,99.74,99.09
PS,2001,99.4,99.5,99.13,98.9,98.69,98.9,98.86,98.95,99.09,99.09,99.24,99.11,99.07
PS,2002,99.08,99.38,99.18,99.02,98.95,98.86,98.99,99.01,98.92,99.2,99.15,99.07,99.07
PS,2003,99.63,99.13,98.7,98.65,98.69,98.7,98.84,98.96,99.08,98.95,99.11,99.14,98.96
PS,2004,99.36,99.46,99.29,98.94,98.7,98.95,98.78,98.97,99.18,98.79,99.32,99.27,99.08
PS,2005,99.61,99.32,98.69,98.71,98.88,98.65,98.91,98.86,99.09,99.2,98.86,99.12,98.99
PS,2006,98.78,99.27,99.07,98.58,98.62,98.94,98.9,98.85,98.84,98.88,99.15,99.42,98.94
PS,2007,99.46,99.17,99.14,98.89,99.07,98.79,98.92,98.8,99.11,98.94,99.34,99.17,99.07
PS,2008,99.29,98.98,99.06,98.8,98.43,98.66,98.82,98.87,99.19,99.38,99.16,99.21,98.99
PS,2009,99.26,99.28,99.1,98.73,98.89,98.51,98.82,98.95,99.12,98.81,99.12,99.02,98.97
PS,2010,99.43,99.2,98.74,98.54,98.74,98.7,98.82,98.77,98.87,99.02,99.05,99.26,98.93
PS,2011,99.23,99.13,99.17,98.26,98.52,98.54,98.69,98.62,98.99,99.05,98.95,99.46,98.88
PS,2012,99.08,99.26,98.81,98.79,98.74,98.68,98.78,98.79,98.97,98.88,99.44,98.92,98.93
PS,2013,99.45,99.0,99.17,98.86,98.76,98.67,99.0,99.06,98.89,99.0,99.58,99.37,99.07
PS,2014,99.2,99.32,99.09,98.62,98.78,98.61,98.99,98.8,99.15,98.77,99.24,99.51,99.01
PS,2015,99.63,99.59,99.42,98.76,99.05,98.72,98.7,98.91,98.98,99.19,99.18,98.82,99.08
PS,2016,99.21,99.11,98.77,98.85,98.91,98.84,98.82,98.92,99.08,99.14,99.23,99.51,99.03
PS,2017,99.01,98.86,99.26,98.65,98.5,98.69,98.92,98.97,99.01,98.96,99.2,99.44,98.96
PS,2018,99.72,99.47,99.03,99.02,98.69,98.59,99.04,98.84,99.07,99.13,99.19,99.14,99.08
