-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2022 
Location: Latitude  19.6377   Longitude -155.343 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1144.66 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS                      MERRA-2 Surface Pressure (kPa) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
CLOUD_AMT               CERES SYN1deg Cloud Amount (%) 
TOA_SW_DWN              CERES SYN1deg Top-Of-Atmosphere Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SRF_ALB          CERES SYN1deg All Sky Surface Albedo (dimensionless) 
ALLSKY_SFC_SW_DNI       CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (MJ/m^2/day) 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_SW_DIFF      CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (MJ/m^2/day) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,1981,88.97,88.93,89.18,89.07,89.04,89.08,89.03,89.0,88.95,88.93,89.01,88.93,89.01
PS,1982,88.87,88.77,88.92,88.96,88.98,88.98,88.91,88.95,88.94,88.85,88.89,88.96,88.92
PS,1983,88.94,89.06,89.16,89.1,89.1,89.1,89.07,89.12,88.98,88.99,89.09,88.93,89.05
PS,1984,89.05,89.03,89.14,89.22,89.1,89.06,88.99,88.98,88.92,89.01,89.1,88.89,89.04
PS,1985,88.95,88.87,88.98,88.99,89.02,89.03,89.03,89.01,88.91,88.91,88.75,88.94,88.95
PS,1986,88.92,88.84,89.08,89.01,88.99,89.02,89.02,88.93,88.87,88.99,88.89,88.98,88.96
PS,1987,89.0,88.8,89.01,89.06,88.91,89.08,89.01,88.97,89.0,89.0,89.04,88.95,88.99
PS,1988,89.0,89.02,89.15,89.09,89.15,89.17,89.13,89.06,88.99,88.95,89.05,89.02,89.07
PS,1989,89.02,88.96,89.01,88.92,89.1,89.13,89.12,89.04,88.95,88.94,88.9,88.92,89.0
PS,1990,88.83,89.0,89.07,89.02,89.07,89.09,89.03,89.0,88.98,89.01,88.87,88.9,88.99
PS,1991,88.92,88.93,89.08,89.12,89.1,89.08,89.02,89.02,88.9,88.83,88.95,88.96,88.99
PS,1992,88.96,88.94,89.12,88.94,88.93,88.99,88.97,89.03,88.81,88.91,88.87,88.91,88.95
PS,1993,88.8,88.97,89.08,89.13,89.04,89.04,89.0,88.99,88.98,88.85,88.97,89.01,88.99
PS,1994,88.95,88.88,89.07,89.11,89.1,89.06,88.98,89.0,88.91,88.91,89.03,89.1,89.01
PS,1995,89.03,88.9,88.95,88.96,89.09,89.1,89.03,89.03,89.03,89.0,89.0,89.1,89.02
PS,1996,88.91,88.93,88.92,89.1,89.1,89.12,89.09,89.04,88.92,88.96,88.85,88.8,88.98
PS,1997,88.9,88.96,88.92,89.04,88.88,89.07,89.01,89.02,88.98,88.99,89.02,89.08,88.99
PS,1998,88.98,89.27,89.23,89.34,89.24,89.16,89.17,89.11,89.02,89.11,89.1,89.18,89.16
PS,1999,89.06,89.24,89.13,89.19,89.15,89.13,89.09,89.13,89.06,89.07,89.08,89.02,89.11
PS,2000,89.06,89.24,89.21,89.2,89.14,89.04,89.07,89.01,88.95,88.99,89.03,89.05,89.08
PS,2001,89.18,88.97,89.11,89.18,89.12,89.04,89.07,89.08,89.02,89.01,89.03,89.0,89.07
PS,2002,89.01,89.1,89.07,89.03,89.06,89.09,89.08,89.02,88.97,88.94,89.01,89.16,89.04
PS,2003,88.92,88.98,89.1,89.16,89.14,89.06,89.09,89.07,89.0,89.01,88.99,89.01,89.04
PS,2004,88.95,89.01,88.99,89.09,89.06,89.09,89.07,89.03,89.02,88.98,89.01,88.99,89.02
PS,2005,88.86,88.95,89.04,89.16,89.11,89.15,89.14,89.06,89.01,89.09,89.06,89.05,89.06
PS,2006,89.12,88.97,89.01,89.18,89.09,89.09,89.1,89.01,89.0,88.89,88.98,89.19,89.05
PS,2007,89.06,89.12,89.02,89.22,89.17,89.1,89.11,89.06,89.05,89.1,88.94,89.09,89.09
PS,2008,89.11,89.16,89.21,89.13,89.15,89.15,89.08,89.09,89.0,89.1,89.17,89.02,89.11
PS,2009,89.08,89.17,89.04,89.1,89.0,89.06,89.04,88.97,88.98,88.93,88.97,88.92,89.02
PS,2010,88.89,89.08,89.17,89.19,89.18,89.24,89.12,89.12,89.05,89.12,89.09,88.96,89.1
PS,2011,88.9,89.06,89.18,89.14,89.18,89.14,89.06,89.07,89.11,89.07,89.1,89.06,89.09
PS,2012,89.11,89.14,89.09,89.19,89.13,89.12,89.06,89.1,89.07,89.02,89.05,89.07,89.09
PS,2013,88.97,89.15,89.05,89.12,89.1,89.1,89.03,89.05,89.03,89.0,88.98,88.97,89.04
PS,2014,88.82,88.88,89.01,89.12,89.1,89.05,89.06,88.93,88.98,88.99,89.01,88.96,88.99
PS,2015,88.88,88.85,89.05,89.1,89.05,89.0,88.94,88.85,88.79,88.83,89.02,89.12,88.96
