-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2022 
Location: Latitude  39.4321   Longitude -77.0544 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 148.82 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS                      MERRA-2 Surface Pressure (kPa) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
CLOUD_AMT               CERES SYN1deg Cloud Amount (%) 
TOA_SW_DWN              CERES SYN1deg Top-Of-Atmosphere Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SRF_ALB          CERES SYN1deg All Sky Surface Albedo (dimensionless) 
ALLSKY_SFC_SW_DNI       CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (MJ/m^2/day) 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_SW_DIFF      CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (MJ/m^2/day) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,1981,99.89,100.25,99.43,99.96,99.65,99.67,99.88,99.99,99.85,100.21,99.87,99.84,99.87
PS,1982,100.02,100.34,100.09,99.89,99.95,99.6,99.91,99.98,100.07,100.26,100.49,100.42,100.08
PS,1983,100.16,100.0,99.36,99.4,99.76,99.9,99.86,99.91,100.16,100.38,99.66,100.25,99.9
PS,1984,100.42,99.79,99.76,99.52,99.74,99.85,99.89,99.86,100.29,100.4,100.28,100.35,100.01
PS,1985,99.61,100.24,100.04,99.87,99.6,99.6,99.85,100.09,100.31,100.42,100.18,99.97,99.98
PS,1986,100.01,99.79,100.1,99.61,99.83,99.76,99.77,100.0,100.23,100.25,100.43,100.42,100.02
PS,1987,99.71,100.1,99.99,99.55,100.15,99.73,99.86,99.91,99.89,100.21,100.31,99.87,99.94
PS,1988,100.62,100.06,100.02,99.34,99.78,99.7,99.87,99.87,100.15,100.07,99.9,100.3,99.97
PS,1989,100.34,100.38,100.29,99.83,99.67,99.79,99.99,99.85,100.17,100.15,99.78,100.07,100.02
PS,1990,99.95,100.22,100.53,99.96,99.67,99.73,99.92,100.02,99.96,100.03,100.1,100.34,100.04
PS,1991,100.32,99.99,99.45,100.05,100.09,99.89,99.75,99.96,100.24,100.2,100.29,100.3,100.04
PS,1992,99.85,99.9,99.72,99.87,100.13,99.62,99.69,100.11,100.34,100.08,100.32,100.23,99.99
PS,1993,100.48,100.12,99.98,99.68,99.8,99.91,99.77,99.95,99.95,100.06,100.36,99.91,100.0
PS,1994,100.44,100.42,99.63,100.0,99.74,99.69,99.92,100.02,99.98,100.21,100.23,100.46,100.06
PS,1995,99.91,99.85,100.18,99.74,99.7,99.85,99.76,99.87,100.12,99.9,99.96,100.09,99.91
PS,1996,100.02,99.71,99.91,99.52,99.96,99.88,99.68,100.17,99.68,100.04,100.46,100.07,99.93
PS,1997,100.04,100.43,99.99,99.62,99.63,99.74,99.77,99.84,99.77,100.09,99.71,99.53,99.84
PS,1998,100.07,99.66,99.89,99.6,99.47,99.43,99.73,100.03,99.63,100.24,100.1,100.3,99.85
PS,1999,100.32,100.06,99.84,99.71,99.91,100.06,99.77,99.64,99.78,100.23,100.2,100.14,99.97
PS,2000,100.14,100.35,99.91,99.67,99.69,99.89,99.76,99.89,99.97,100.3,99.87,100.35,99.98
PS,2001,100.01,100.42,99.57,100.06,99.93,99.85,99.81,99.85,99.98,100.16,100.39,100.0,100.0
PS,2002,99.84,100.02,100.25,100.13,99.97,99.86,99.85,100.01,100.01,100.12,99.74,99.95,99.98
PS,2003,99.86,99.92,99.83,99.9,99.72,99.6,99.76,99.88,100.04,99.85,100.08,100.01,99.87
PS,2004,99.92,100.39,100.29,99.67,99.9,99.88,99.66,99.86,100.18,99.95,100.3,100.04,100.0
PS,2005,100.49,100.23,99.39,99.56,99.75,99.82,99.82,99.85,100.11,99.84,99.98,99.9,99.89
PS,2006,99.78,99.82,99.89,99.67,99.45,99.69,99.85,99.79,99.79,99.75,100.1,100.47,99.84
PS,2007,100.07,99.81,100.32,99.5,100.25,99.72,99.7,99.76,100.2,100.07,100.08,100.22,99.98
PS,2008,100.27,99.85,100.0,100.03,99.37,99.67,99.7,99.67,100.11,100.29,99.98,100.19,99.93
PS,2009,99.95,100.08,100.34,99.73,99.95,99.35,99.62,99.85,100.08,99.89,100.14,100.06,99.92
PS,2010,99.85,99.33,99.43,99.68,99.87,99.56,99.73,99.75,99.7,99.58,100.15,99.61,99.69
PS,2011,99.82,99.92,100.2,99.57,99.67,99.6,99.6,99.42,99.84,99.79,100.17,100.38,99.83
PS,2012,99.95,100.04,100.14,99.61,99.84,99.67,99.66,99.78,99.91,99.64,100.39,99.88,99.87
PS,2013,100.33,99.85,99.69,100.19,100.07,99.6,99.95,99.93,99.91,100.02,100.45,100.21,100.02
PS,2014,99.96,100.01,99.9,99.93,99.9,99.83,99.78,99.9,100.13,99.62,100.02,100.29,99.94
PS,2015,100.26,100.1,100.26,99.81,100.28,99.71,99.59,99.79,100.04,100.12,100.46,100.16,100.05
PS,2016,99.93,99.89,99.94,99.92,99.78,99.66,99.72,99.99,100.07,100.2,100.12,100.3,99.96
PS,2017,99.88,99.72,100.29,99.83,99.47,99.64,99.72,99.93,99.93,100.13,100.23,100.11,99.91
PS,2018,100.54,100.55,99.72,99.81,99.94,99.65,100.02,99.91,100.26,100.0,100.06,100.15,100.05
PS,2019,100.09,100.3,100.22,99.78,99.69,99.63,99.74,99.72,100.1,100.0,100.08,100.05,99.95
PS,2020,100.26,99.92,100.19,99.44,99.97,99.83,99.66,99.68,100.1,100.1,100.38,99.98,99.96
PS,2021,99.92,100.1,100.33,99.59,100.12,99.87,99.75,99.94,99.83,99.73,100.19,99.96,99.94
PS,2022,100.05,100.44,99.87,99.87,99.9,99.71,99.7,99.85,99.89,100.02,100.33,100.33,99.99
TS,1981,-4.82,1.49,2.99,11.59,15.69,22.22,24.95,23.52,19.31,11.05,4.9,-1.96,10.95
TS,1982,-5.89,-0.86,3.38,8.35,17.1,19.29,24.18,23.37,20.41,12.99,7.08,3.44,11.14
TS,1983,-0.82,-0.94,5.3,9.14,14.8,20.44,24.08,26.1,21.09,13.24,5.93,-2.18,11.42
TS,1984,-6.1,1.72,0.63,8.79,14.54,20.97,21.68,22.64,18.71,15.6,4.5,3.25,10.59
TS,1985,-4.4,-2.23,4.8,12.02,16.74,20.86,24.95,23.79,20.91,13.27,8.66,-1.18,11.58
TS,1986,-2.52,-2.34,4.16,10.3,16.78,23.36,27.1,23.63,20.61,13.76,5.03,0.71,11.8
TS,1987,-3.94,-2.0,4.79,9.69,16.08,22.13,26.82,26.05,19.48,9.46,6.62,1.41,11.46
TS,1988,-4.48,-0.91,4.65,9.24,16.04,20.95,26.95,26.15,18.74,10.05,6.33,-0.67,11.12
TS,1989,-0.2,-0.31,3.64,9.3,14.99,21.45,22.9,22.56,19.83,12.56,4.94,-6.24,10.51
TS,1990,0.92,3.0,6.22,10.57,14.9,20.68,24.62,22.91,19.4,14.26,6.59,2.45,12.26
TS,1991,-1.46,1.52,5.56,11.14,18.92,23.55,27.24,25.9,20.01,12.59,5.55,1.63,12.74
TS,1992,-0.42,0.28,3.38,9.65,14.23,19.6,24.73,22.41,19.08,10.67,6.37,0.54,10.9
TS,1993,0.32,-2.95,1.37,9.3,16.33,20.51,26.4,25.54,20.08,11.19,5.63,-0.34,11.2
TS,1994,-7.34,-3.73,2.01,11.83,14.14,22.65,25.32,22.1,18.77,11.29,7.89,2.32,10.67
TS,1995,0.54,-2.4,5.3,9.37,15.77,22.39,25.99,26.62,20.28,13.97,3.23,-3.25,11.57
TS,1996,-4.06,-0.94,1.3,9.71,14.68,21.08,21.74,21.89,18.62,11.55,3.02,1.8,10.06
TS,1997,-2.36,1.19,4.59,8.77,13.85,21.27,25.98,24.24,19.44,13.01,4.63,0.7,11.33
TS,1998,1.48,2.08,5.12,10.87,17.23,20.29,24.14,25.46,22.89,13.46,6.83,3.77,12.87
TS,1999,-0.8,1.26,2.81,10.47,16.61,23.11,28.18,25.33,18.69,10.94,8.03,1.48,12.23
TS,2000,-2.23,0.19,6.87,10.2,17.06,21.59,22.62,22.64,17.98,12.55,5.01,-2.53,11.02
TS,2001,-2.7,0.84,2.87,11.17,16.55,22.47,24.19,26.03,19.53,13.12,9.63,4.16,12.38
TS,2002,1.12,2.66,5.84,12.68,16.5,23.82,27.12,26.98,21.15,12.51,5.08,-2.11,12.83
TS,2003,-4.1,-3.15,4.57,9.56,14.37,19.61,22.87,23.4,18.98,11.01,8.37,-0.38,10.5
TS,2004,-4.39,-1.65,5.44,10.75,19.23,20.61,23.55,22.8,20.75,12.28,7.53,1.25,11.55
TS,2005,-1.1,0.4,2.38,10.87,14.0,22.92,25.55,26.37,23.19,13.51,7.17,-2.02,11.99
TS,2006,2.23,0.19,4.9,12.12,16.4,22.59,24.7,26.55,18.57,12.03,7.78,3.46,12.7
TS,2007,1.78,-5.06,4.26,9.07,17.08,22.88,25.8,26.08,22.06,17.16,5.81,0.98,12.44
TS,2008,-0.39,0.47,5.14,11.85,14.79,22.51,24.91,23.81,20.45,11.59,5.22,0.72,11.78
TS,2009,-3.85,0.33,4.71,10.87,16.62,20.9,23.4,24.8,18.45,11.76,7.77,-0.99,11.29
TS,2010,-2.48,-3.92,6.35,12.52,17.61,24.26,27.35,25.51,22.15,12.38,5.76,-2.38,12.18
TS,2011,-3.93,-0.12,4.55,12.03,17.93,22.51,27.64,24.33,19.64,11.55,7.59,2.94,12.29
TS,2012,0.37,2.55,10.02,11.03,19.36,22.56,27.87,25.05,19.77,13.27,3.44,3.3,13.26
TS,2013,-0.16,-0.54,2.3,11.29,16.45,21.96,25.12,23.06,19.98,13.63,4.38,0.15,11.54
TS,2014,-4.43,-4.41,1.18,9.66,16.83,21.58,23.51,22.9,20.48,13.81,4.02,1.77,10.66
TS,2015,-3.26,-5.92,1.64,10.79,19.08,22.27,23.93,24.84,21.92,12.13,8.69,7.19,12.05
TS,2016,-2.82,0.54,7.76,10.69,15.52,21.7,26.85,26.49,22.73,14.32,7.56,0.69,12.7
TS,2017,1.08,4.09,4.23,14.12,16.18,23.2,26.19,22.72,20.63,16.03,5.82,-0.02,12.9
TS,2018,-2.27,2.5,2.62,8.87,19.44,21.38,24.19,23.78,21.38,13.31,3.97,1.76,11.8
TS,2019,-1.61,0.01,3.26,12.65,18.31,21.34,25.4,25.52,23.65,16.18,4.27,1.04,12.57
TS,2020,1.43,3.01,7.89,9.62,14.92,22.0,28.49,24.86,19.72,14.04,8.62,0.3,12.94
TS,2021,-0.67,-1.23,6.24,11.57,16.08,22.87,26.6,26.28,20.05,16.3,5.29,4.32,12.9
TS,2022,-2.45,1.24,6.55,10.58,17.32,23.09,26.73,26.44,20.83,11.67,7.55,-0.24,12.5
QV2M,1981,2.2,3.97,3.66,6.59,8.3,11.9,11.96,10.5,8.97,5.8,4.33,2.99,6.77
QV2M,1982,2.32,3.11,4.15,5.31,9.77,11.35,12.88,10.25,9.09,6.59,5.49,4.76,7.14
QV2M,1983,3.05,3.17,4.7,6.23,8.79,12.15,12.88,11.78,8.48,7.08,5.25,3.17,7.26
QV2M,1984,2.44,4.21,3.48,6.04,8.85,12.82,13.12,13.55,8.73,8.48,4.27,4.52,7.57
QV2M,1985,2.44,3.05,4.33,6.96,9.03,10.01,11.78,11.41,9.58,7.75,6.41,3.11,7.2
QV2M,1986,2.87,3.05,4.52,6.35,9.09,10.13,12.45,11.41,9.89,7.02,4.88,3.6,7.14
QV2M,1987,2.81,2.75,4.52,6.35,9.52,12.57,13.37,11.17,10.99,5.43,5.31,3.72,7.39
QV2M,1988,2.5,3.11,4.39,5.68,9.34,10.01,12.33,12.08,9.03,5.13,5.13,2.99,6.84
QV2M,1989,3.3,3.11,4.64,5.74,9.16,13.55,14.59,13.31,10.8,7.63,4.88,2.14,7.75
QV2M,1990,3.85,4.39,5.31,6.59,8.36,11.72,13.55,12.57,9.52,7.75,5.25,4.21,7.75
QV2M,1991,3.05,3.78,5.0,7.02,11.11,10.68,11.96,11.6,9.28,7.02,4.7,3.97,7.45
QV2M,1992,3.3,3.42,4.15,6.23,7.81,10.38,12.94,10.99,10.13,6.04,5.37,3.6,7.02
QV2M,1993,3.42,2.62,4.09,6.29,9.28,11.6,12.7,11.96,10.31,6.41,4.88,3.42,7.26
QV2M,1994,2.26,2.81,4.15,7.45,7.93,12.7,14.16,12.51,9.28,6.04,5.43,4.03,7.45
QV2M,1995,3.66,2.75,4.46,5.55,8.42,11.35,13.55,11.66,8.54,7.87,4.33,2.75,7.14
QV2M,1996,2.75,3.42,3.6,6.65,8.79,13.0,13.31,12.94,11.17,7.26,4.15,4.21,7.63
QV2M,1997,3.05,3.85,4.64,5.43,7.32,10.68,10.68,10.62,8.97,6.41,4.7,3.6,6.65
QV2M,1998,4.27,4.09,5.31,6.71,10.31,12.57,12.33,11.72,9.77,6.47,4.21,4.03,7.69
QV2M,1999,3.42,3.54,3.72,6.04,8.06,10.13,11.6,10.68,10.62,6.9,5.98,3.78,7.08
QV2M,2000,2.99,3.66,5.13,6.41,9.77,12.51,11.35,12.08,9.89,6.71,4.09,2.44,7.26
QV2M,2001,2.87,3.42,3.66,6.71,8.42,11.66,10.5,12.45,8.54,6.04,5.49,4.21,7.02
QV2M,2002,3.6,3.36,4.46,7.02,8.24,10.99,11.54,11.35,10.07,7.69,5.0,3.05,7.2
QV2M,2003,2.44,2.75,4.94,6.41,8.91,12.08,14.4,15.14,11.66,7.02,6.53,3.42,8.0
QV2M,2004,2.56,2.93,4.88,6.9,11.84,12.27,14.1,13.37,11.54,7.39,5.55,3.78,8.12
QV2M,2005,3.48,3.42,3.78,6.47,7.63,12.7,14.34,13.31,10.01,8.0,5.62,2.99,7.69
QV2M,2006,4.15,3.23,4.27,6.59,8.24,11.6,15.08,12.33,10.19,6.96,6.1,4.52,7.81
QV2M,2007,4.09,2.26,4.76,5.92,9.22,11.72,11.47,13.06,10.07,8.91,4.82,3.72,7.51
QV2M,2008,3.3,3.6,4.46,7.08,8.48,13.61,13.31,10.93,10.8,6.53,4.94,3.66,7.57
QV2M,2009,2.44,3.36,4.52,6.53,9.77,12.63,12.02,14.1,10.31,7.08,5.98,3.36,7.69
QV2M,2010,2.93,2.69,5.25,7.2,10.19,13.12,13.0,12.88,9.83,7.51,4.88,2.69,7.69
QV2M,2011,2.5,3.42,4.39,7.81,10.99,13.0,13.73,12.82,12.88,7.57,6.1,4.52,8.3
QV2M,2012,3.6,3.97,6.71,6.04,11.23,11.05,13.67,12.88,10.62,7.93,4.15,4.58,8.06
QV2M,2013,3.6,3.11,3.6,6.77,9.52,13.37,15.32,12.63,8.97,8.0,4.39,4.03,7.81
QV2M,2014,2.56,2.69,3.66,6.16,9.77,13.18,13.37,11.96,10.19,7.75,4.15,3.91,7.45
QV2M,2015,2.62,2.08,3.72,6.35,10.8,13.79,14.22,11.17,10.62,7.02,6.16,6.29,7.93
QV2M,2016,2.81,3.72,5.68,6.16,9.09,12.08,13.61,14.04,10.86,7.93,4.82,3.36,7.87
QV2M,2017,3.72,4.52,4.33,8.06,9.16,11.47,13.67,12.57,10.25,8.42,4.88,3.23,7.87
QV2M,2018,2.99,4.52,3.72,5.49,11.78,13.18,14.16,15.38,14.04,8.91,4.82,4.15,8.61
QV2M,2019,3.23,3.54,4.27,7.69,11.11,12.7,14.77,12.76,10.31,7.63,3.91,3.91,8.0
QV2M,2020,3.85,4.09,5.43,5.86,8.54,12.21,13.85,14.28,10.68,7.87,6.16,3.66,8.06
QV2M,2021,3.17,3.11,5.07,6.77,8.61,12.82,13.12,14.1,11.9,9.52,4.52,4.46,8.12
QV2M,2022,2.75,3.54,5.0,5.86,9.95,11.17,13.43,12.63,10.38,6.65,5.74,3.48,7.57
RH2M,1981,79.56,79.69,75.88,74.38,74.25,72.38,64.5,62.69,65.88,70.44,76.19,86.12,73.44
RH2M,1982,84.75,84.0,82.19,73.12,78.69,80.62,71.12,61.38,66.12,69.69,80.62,85.69,76.44
RH2M,1983,82.75,83.56,79.94,82.0,80.69,79.75,69.56,60.5,56.88,74.19,85.0,86.5,76.75
RH2M,1984,92.25,88.75,85.0,83.62,82.19,80.31,80.69,78.94,67.19,76.12,77.12,87.25,81.62
RH2M,1985,82.06,85.81,76.44,75.12,75.88,67.75,63.62,66.25,63.56,78.38,87.44,82.06,75.31
RH2M,1986,84.19,90.12,80.19,80.19,75.12,60.06,60.81,65.75,68.06,69.56,84.56,86.0,75.31
RH2M,1987,90.88,82.44,79.69,82.62,81.19,75.69,64.31,58.31,77.69,73.38,81.06,83.62,77.5
RH2M,1988,84.38,81.69,77.81,78.12,81.62,65.5,59.94,61.38,69.25,67.25,81.38,78.94,73.88
RH2M,1989,83.31,80.12,84.31,76.5,82.81,83.44,82.88,78.69,74.69,79.12,81.0,84.75,81.0
RH2M,1990,86.88,82.75,80.19,78.19,78.25,76.69,72.94,74.81,69.0,73.62,79.56,85.25,78.19
RH2M,1991,84.88,82.5,82.31,81.88,78.44,62.94,58.62,60.75,65.56,73.88,74.5,82.75,74.06
RH2M,1992,82.69,83.0,80.31,79.12,77.25,74.06,69.44,68.62,73.38,74.0,83.75,85.69,77.56
RH2M,1993,83.69,83.12,89.5,82.25,79.44,76.25,62.19,63.5,70.56,75.69,79.62,85.44,77.56
RH2M,1994,92.5,90.06,88.0,81.12,77.06,73.94,73.12,76.44,70.62,71.88,76.19,83.31,79.5
