Illinois January-December Minimum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
197412,41.8
197512,42.2
197612,39.0
197712,41.2
197812,39.4
197912,39.1
198012,41.1
198112,41.6
198212,40.7
198312,42.2
198412,41.9
198512,40.5
198612,42.8
198712,43.6
198812,40.5
198912,40.0
199012,43.3
199112,43.7
199212,42.1
199312,41.7
199412,41.6
199512,41.4
199612,40.0
199712,41.2
199812,45.8
199912,42.8
200012,42.0
200112,43.1
200212,43.1
200312,41.3
200412,42.6
200512,43.4
200612,43.9
200712,43.2
200812,40.8
200912,41.8
201012,42.7
201112,43.4
201212,44.7
201312,41.1
201412,39.5
201512,42.9
201612,45.0
201712,44.0
201812,42.6
201912,42.4
202012,43.5
202112,44.0
202212,41.6
202312,44.3
