South Carolina January-December Minimum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
197412,51.2
197512,51.9
197612,48.9
197712,50.4
197812,49.9
197912,50.0
198012,50.1
198112,48.8
198212,51.7
198312,49.7
198412,50.5
198512,51.6
198612,52.4
198712,50.7
198812,49.0
198912,51.2
199012,52.9
199112,52.8
199212,51.0
199312,51.1
199412,51.6
199512,51.3
199612,50.3
199712,50.9
199812,53.4
199912,51.4
200012,50.3
200112,51.3
200212,52.3
200312,51.5
200412,52.1
200512,51.9
200612,51.8
200712,52.1
200812,51.3
200912,51.8
201012,50.8
201112,52.1
201212,53.2
201312,51.6
201412,50.8
201512,53.7
201612,53.6
201712,53.8
201812,53.6
201912,53.9
202012,54.2
202112,52.7
202212,52.6
202312,53.2
