Georgia January-December Minimum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
197412,51.9
197512,52.4
197612,49.3
197712,50.8
197812,50.6
197912,50.8
198012,51.2
198112,50.0
198212,52.7
198312,50.5
198412,51.3
198512,52.4
198612,53.4
198712,51.5
198812,50.3
198912,52.0
199012,53.3
199112,53.7
199212,51.8
199312,51.6
199412,52.6
199512,52.1
199612,50.9
199712,52.0
199812,54.5
199912,52.3
200012,51.1
200112,52.0
200212,52.9
200312,52.3
200412,52.8
200512,52.6
200612,52.3
200712,52.6
200812,51.7
200912,52.5
201012,51.1
201112,52.4
201212,53.9
201312,52.7
201412,51.3
201512,54.6
201612,53.9
201712,54.5
201812,54.3
201912,54.8
202012,54.7
202112,53.4
202212,52.9
202312,54.1
